,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,BARCODE_str,AGE_WHEN_CREATION,PURCHASE_DATE_CT,AGE_WHEN_PURCHASING,AGE_WHEN_PURCHASING_MO,TIME_AS_USER_WHEN_PURCHASING,TIME_AS_USER_WHEN_PURCHASING_MO
216,65c3f156e43f8851491d255f,2024-02-07 21:08:38+00:00,1974-01-16 00:00:00+00:00,CO,en,female,f0dae64a-e3b4-4275-95dc-b14b19cadae8,2024-07-06,2024-07-13 21:37:29.183 Z,WALMART,65c3f156e43f8851491d255f,49000549614.0,1.00, ,1.0,,49000549614.0,50.0,2024-07-06 00:00:00+00:00,50.0,605.0,0.0,4.0
217,65c3f156e43f8851491d255f,2024-02-07 21:08:38+00:00,1974-01-16 00:00:00+00:00,CO,en,female,f0dae64a-e3b4-4275-95dc-b14b19cadae8,2024-07-06,2024-07-13 21:37:29.183 Z,WALMART,65c3f156e43f8851491d255f,49000549614.0,1.00,1.52,1.0,1.52,49000549614.0,50.0,2024-07-06 00:00:00+00:00,50.0,605.0,0.0,4.0
218,6344c5701aaccf0b216c3e22,2022-10-11 01:22:56+00:00,1970-07-19 00:00:00+00:00,CA,en,male,2d7ebabc-02f1-4658-b4d0-8acbf44a7bb8,2024-09-04,2024-09-05 00:13:55.307 Z,SUPERIOR GROCERS,6344c5701aaccf0b216c3e22,71169294968.0,zero,3.29,0.0,3.29,71169294968.0,52.0,2024-09-04 00:00:00+00:00,54.0,649.0,1.0,22.0
219,6344c5701aaccf0b216c3e22,2022-10-11 01:22:56+00:00,1970-07-19 00:00:00+00:00,CA,en,male,2d7ebabc-02f1-4658-b4d0-8acbf44a7bb8,2024-09-04,2024-09-05 00:13:55.307 Z,SUPERIOR GROCERS,6344c5701aaccf0b216c3e22,71169294968.0,1.00,3.29,1.0,3.29,71169294968.0,52.0,2024-09-04 00:00:00+00:00,54.0,649.0,1.0,22.0
220,5e6d0beb01ecdd13986852e8,2020-03-14 16:53:00+00:00,1960-05-12 00:00:00+00:00,IA,en,male,d80f7f61-d98f-46d7-be8a-0969971e2b7c,2024-08-16,2024-08-17 08:55:14.932 Z,HY-VEE,5e6d0beb01ecdd13986852e8,30772112526.0,1.00, ,1.0,,30772112526.0,59.0,2024-08-16 00:00:00+00:00,64.0,771.0,4.0,53.0
221,5e6d0beb01ecdd13986852e8,2020-03-14 16:53:00+00:00,1960-05-12 00:00:00+00:00,IA,en,male,d80f7f61-d98f-46d7-be8a-0969971e2b7c,2024-08-16,2024-08-17 08:55:14.932 Z,HY-VEE,5e6d0beb01ecdd13986852e8,30772112526.0,1.00,8.97,1.0,8.97,30772112526.0,59.0,2024-08-16 00:00:00+00:00,64.0,771.0,4.0,53.0
222,64b195bd480825afb3d43809,2023-07-14 18:36:45+00:00,1972-09-26 00:00:00+00:00,CA,en,female,8835aac0-2118-47d6-bd8d-366b478b4420,2024-06-18,2024-06-30 21:57:23.358 Z,WALMART,64b195bd480825afb3d43809,51000012517.0,zero,2.37,0.0,2.37,51000012517.0,50.0,2024-06-18 00:00:00+00:00,51.0,620.0,0.0,11.0
223,64b195bd480825afb3d43809,2023-07-14 18:36:45+00:00,1972-09-26 00:00:00+00:00,CA,en,female,8835aac0-2118-47d6-bd8d-366b478b4420,2024-06-18,2024-06-30 21:57:23.358 Z,WALMART,64b195bd480825afb3d43809,51000012517.0,1.00,2.37,1.0,2.37,51000012517.0,50.0,2024-06-18 00:00:00+00:00,51.0,620.0,0.0,11.0
224,6661ed1e7c0469953bfc76c4,2024-06-06 17:08:46+00:00,1991-05-02 00:00:00+00:00,FL,en,female,79e10b66-d5c5-420d-9f46-7536ab4f5eca,2024-07-23,2024-07-23 13:37:52.396 Z,WALMART,6661ed1e7c0469953bfc76c4,30000566237.0,zero,8.30,0.0,8.3,30000566237.0,33.0,2024-07-23 00:00:00+00:00,33.0,398.0,0.0,1.0
225,6661ed1e7c0469953bfc76c4,2024-06-06 17:08:46+00:00,1991-05-02 00:00:00+00:00,FL,en,female,79e10b66-d5c5-420d-9f46-7536ab4f5eca,2024-07-23,2024-07-23 13:37:52.396 Z,WALMART,6661ed1e7c0469953bfc76c4,38000138416.0,1.00, ,1.0,,38000138416.0,33.0,2024-07-23 00:00:00+00:00,33.0,398.0,0.0,1.0
226,6661ed1e7c0469953bfc76c4,2024-06-06 17:08:46+00:00,1991-05-02 00:00:00+00:00,FL,en,female,79e10b66-d5c5-420d-9f46-7536ab4f5eca,2024-07-23,2024-07-23 13:37:52.396 Z,WALMART,6661ed1e7c0469953bfc76c4,30000566237.0,1.00,8.30,1.0,8.3,30000566237.0,33.0,2024-07-23 00:00:00+00:00,33.0,398.0,0.0,1.0
